sid,account_sid,resource_type,resource_sid,date_created,amount,currency,description
BL8657bc3d6d4b3f0d,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SMbeaa35183194ba57,2025-05-28T01:50:46.676Z,-0.0225,USD,SMS charge for SMbeaa35183194ba57
BLb1773623d678253c,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SMc52c54be7754e4d6,2024-01-29T18:33:48.047Z,-0.0150,USD,SMS charge for SMc52c54be7754e4d6
BLc1176fb50e870c4b,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SMb760fdea8acd2768,2024-12-24T14:27:47.596Z,-0.0075,USD,SMS charge for SMb760fdea8acd2768
BL27afe96e867ee4b9,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM8508744d5f9b7b82,2023-07-24T14:16:27.411Z,-0.0150,USD,SMS charge for SM8508744d5f9b7b82
BL3cf82fd3a134102f,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SMad176c84237077f6,2025-09-28T20:01:05.280Z,-0.0150,USD,SMS charge for SMad176c84237077f6
BLf0b7f6778f8b4703,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM6866bbbbd1ed5704,2025-11-05T01:04:45.794Z,-0.0225,USD,SMS charge for SM6866bbbbd1ed5704
BL2a794f35e03fc48c,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM84cc9c694a5fbddd,2024-10-31T22:33:45.946Z,-0.0075,USD,SMS charge for SM84cc9c694a5fbddd
BLdc5a4645a6e66c60,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM5c6b291c304503dd,2023-11-05T17:05:41.061Z,-0.0225,USD,SMS charge for SM5c6b291c304503dd
BLfb07c352acc9fdce,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SMce2c54ab38dc248f,2023-07-19T15:59:43.680Z,-0.0150,USD,SMS charge for SMce2c54ab38dc248f
BLac6777a116ffbae2,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SMdd89a10248f45e97,2024-09-02T15:59:33.086Z,-0.0150,USD,SMS charge for SMdd89a10248f45e97
BLf218ea6de75bb3ee,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM84a025eac6065e19,2024-02-23T17:51:41.460Z,-0.0075,USD,SMS charge for SM84a025eac6065e19
BL11a3ee39b0f6f0b2,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM575d309e9451cb3a,2025-07-05T20:04:52.617Z,-0.0225,USD,SMS charge for SM575d309e9451cb3a
BL86632fbe3fc713a1,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SMa2a84f7b5845a837,2024-02-20T05:04:35.062Z,-0.0075,USD,SMS charge for SMa2a84f7b5845a837
BL02fb676015a79861,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM2b529957531a4466,2025-05-26T10:52:45.452Z,-0.0150,USD,SMS charge for SM2b529957531a4466
BL1e8b58fb6d6cab1f,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SMfdc610e7bf6d6e2d,2025-09-20T14:15:31.939Z,-0.0075,USD,SMS charge for SMfdc610e7bf6d6e2d
BLe5b46bb61dfef987,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SMd4fc073e0bd0e092,2025-03-30T10:45:46.255Z,-0.0075,USD,SMS charge for SMd4fc073e0bd0e092
BL7fd6149f0e3300e9,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM030873b125597709,2024-12-30T15:11:49.832Z,-0.0225,USD,SMS charge for SM030873b125597709
BL250017361b869612,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SMfd714b077fc063f3,2025-08-28T16:51:16.773Z,-0.0150,USD,SMS charge for SMfd714b077fc063f3
BL5092ae19b8897952,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SMf65d30391d0f0f02,2024-12-26T12:36:15.934Z,-0.0150,USD,SMS charge for SMf65d30391d0f0f02
BL17ba5dcb1c074612,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM0a4c14bc20106b7e,2024-03-27T23:26:13.324Z,-0.0075,USD,SMS charge for SM0a4c14bc20106b7e
BLc99d7c116aa9183b,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM1cc9c7d234e9171b,2025-08-31T22:30:14.054Z,-0.0225,USD,SMS charge for SM1cc9c7d234e9171b
BL20a45900b00aab31,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SMc5070ad3d172d736,2025-03-14T12:19:34.625Z,-0.0225,USD,SMS charge for SMc5070ad3d172d736
BL3463bbd787ae9941,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM2ed59be44228e526,2023-11-08T12:30:51.598Z,-0.0075,USD,SMS charge for SM2ed59be44228e526
BL5b9bbe2f436a1005,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM941630e810b8f133,2025-06-06T06:45:33.396Z,-0.0225,USD,SMS charge for SM941630e810b8f133
BLcb37400676d455ff,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM523fd124f58c8bb6,2023-06-03T12:48:58.034Z,-0.0075,USD,SMS charge for SM523fd124f58c8bb6
BLf2a699fe3d459e72,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SMd808e76f2767142a,2024-11-13T20:44:43.221Z,-0.0075,USD,SMS charge for SMd808e76f2767142a
BLf43b53ced01204fc,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM68c03f8ed80b57c2,2026-03-29T23:05:22.395Z,-0.0150,USD,SMS charge for SM68c03f8ed80b57c2
BL3ee7b2576488206b,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SMdf75cb0d43753da9,2023-06-28T06:05:09.708Z,-0.0075,USD,SMS charge for SMdf75cb0d43753da9
BLb8f46ffbe137895b,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM99cd3e5943640847,2023-06-12T19:15:38.305Z,-0.0075,USD,SMS charge for SM99cd3e5943640847
BL131f06c8c2c9862f,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM488c42b1897e5f3e,2023-10-03T07:50:15.686Z,-0.0225,USD,SMS charge for SM488c42b1897e5f3e
BLfb853df0701ea194,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM3c42c9ed96f26c18,2023-05-24T23:07:11.850Z,-0.0150,USD,SMS charge for SM3c42c9ed96f26c18
BLb6cbc84787ec6f38,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SMdaf2dfe66097f49d,2026-03-30T16:19:14.752Z,-0.0150,USD,SMS charge for SMdaf2dfe66097f49d
BLcec25c57415a5393,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM254a91ea1ff43ffd,2024-11-21T05:51:33.587Z,-0.0150,USD,SMS charge for SM254a91ea1ff43ffd
BL78b5cec7ce2c4bd0,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM57ae642f52320dd0,2024-01-16T04:46:51.711Z,-0.0075,USD,SMS charge for SM57ae642f52320dd0
BL539f5e8e7c745945,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SMf8176cbba9d0fee1,2024-07-11T15:40:05.391Z,-0.0075,USD,SMS charge for SMf8176cbba9d0fee1
BL073fd2d081e2deb1,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM5449fa5eb856c52f,2025-05-01T13:25:03.950Z,-0.0225,USD,SMS charge for SM5449fa5eb856c52f
BL261def155e39fe5c,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SMa249cb9e105c7a1c,2023-10-02T10:34:09.073Z,-0.0075,USD,SMS charge for SMa249cb9e105c7a1c
BL63fa42d9b80a9228,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SMbf2966b5a935c5da,2024-02-15T02:50:34.284Z,-0.0225,USD,SMS charge for SMbf2966b5a935c5da
BL5a70166230c62f95,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SMc4d9a431651c3b15,2024-09-08T06:28:17.927Z,-0.0075,USD,SMS charge for SMc4d9a431651c3b15
BL1e58bb3af3f0c1b5,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM02a9612e1cf3f4bb,2024-10-15T21:24:11.960Z,-0.0075,USD,SMS charge for SM02a9612e1cf3f4bb
BLdfe27c77c827dcd4,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM8ca1ad5bda3b7d14,2023-08-27T08:50:40.885Z,-0.0225,USD,SMS charge for SM8ca1ad5bda3b7d14
BL5b24399f4c4de57f,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM083063a37cd9e08e,2024-04-10T23:14:08.498Z,-0.0075,USD,SMS charge for SM083063a37cd9e08e
BLa20b6ec1ce868048,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM5259f18fa94fe5d8,2023-04-28T13:32:35.682Z,-0.0150,USD,SMS charge for SM5259f18fa94fe5d8
BLa6b42fadd88d68df,ACcabbc8db28677d7319eb5d87ff2e7562,Message,SM3d45ef6f2cc7be60,2023-12-12T00:41:02.142Z,-0.0075,USD,SMS charge for SM3d45ef6f2cc7be60
