sid,account_sid,friendly_name,phone_number,country_code,phone_number_type,capabilities,sms_enabled,voice_enabled,verified,date_created,date_updated
PNf61454b2daf9c4f2,ACcb44e59a6e8bf77b6329094c5a4db011,TollFree +18001000100,+18001000100,US,tollfree,"SMS,VOICE",true,true,true,2025-06-25T12:15:06.208Z,2026-04-14T20:25:20.531Z
PN88f501089b3a1fc5,ACcb44e59a6e8bf77b6329094c5a4db011,TollFree +18881000101,+18881000101,US,tollfree,"SMS,VOICE",true,true,true,2024-02-11T17:40:48.910Z,2026-04-14T20:25:20.531Z
PN09ed989294bb7dfe,ACcb44e59a6e8bf77b6329094c5a4db011,TollFree +18771000102,+18771000102,US,tollfree,"SMS,VOICE",true,true,true,2023-11-14T20:18:47.746Z,2026-04-14T20:25:20.531Z
PN5cbc565c3320c660,ACcb44e59a6e8bf77b6329094c5a4db011,TollFree +18661000103,+18661000103,US,tollfree,"SMS,VOICE",true,true,true,2024-10-13T18:41:06.207Z,2026-04-14T20:25:20.531Z
PN2937248de66edd0a,ACcb44e59a6e8bf77b6329094c5a4db011,TollFree +18551000104,+18551000104,US,tollfree,"SMS,VOICE",true,true,true,2023-06-11T16:46:44.010Z,2026-04-14T20:25:20.531Z
PNf862c897388b2ade,ACcb44e59a6e8bf77b6329094c5a4db011,TollFree +18441000105,+18441000105,US,tollfree,"SMS,VOICE",true,true,true,2024-03-11T09:56:55.146Z,2026-04-14T20:25:20.531Z
PN71de4eb6653b082a,ACcb44e59a6e8bf77b6329094c5a4db011,TollFree +18331000106,+18331000106,US,tollfree,"SMS,VOICE",true,true,true,2024-06-24T05:24:08.625Z,2026-04-14T20:25:20.531Z
PN23390d153a51af34,ACcb44e59a6e8bf77b6329094c5a4db011,TollFree +18221000107,+18221000107,US,tollfree,"SMS,VOICE",true,true,true,2025-08-17T12:55:42.609Z,2026-04-14T20:25:20.531Z
PN68e29dda29e80869,ACcb44e59a6e8bf77b6329094c5a4db011,Local 212-0001,+12121000001,US,local,"SMS,VOICE",true,true,true,2024-09-14T08:12:53.147Z,2026-04-14T20:25:20.531Z
PN0aeb7b19fff2e662,ACcb44e59a6e8bf77b6329094c5a4db011,Local 213-0002,+12131000002,US,local,"SMS,VOICE",true,true,true,2024-11-09T08:06:28.923Z,2026-04-14T20:25:20.531Z
